City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Kununurra,AU,80.58,clear sky,-15.7667,128.7333,Hotel Kununurra
447,Paveh,IR,78.67,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
456,Wanning,CN,80.06,clear sky,18.8003,110.3967,Paradise Hotel
458,Libreville,GA,80.62,light rain,0.3925,9.4537,Hotel Re-Ndama
459,Phangnga,TH,83.91,moderate rain,8.4509,98.5298,Sunimit Mansion
461,Jalu,LY,86.88,clear sky,29.0331,21.5482,صاحبة الفخامة
462,Nyangao,TZ,88.54,broken clouds,-10.3333,39.2833,MLIMANI LODGE & STATIONERY
463,Mahanoro,MG,78.8,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
465,Catanduva,BR,79.09,clear sky,-21.1378,-48.9728,Colonial Hotel
469,Bengkulu,ID,78.1,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
472,Port Blair,IN,82.11,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
474,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
482,Chimore,BO,85.21,clear sky,-16.9833,-65.1333,Bichito
484,Contamana,PE,76.3,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
485,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
487,Quelimane,MZ,85.95,few clouds,-17.8786,36.8883,Hotel Flamingo
488,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
489,Lahad Datu,MY,78.1,broken clouds,5.0268,118.327,The 27th House
492,Alenquer,BR,82.74,scattered clouds,-1.9417,-54.7383,Josilene Castro
493,Souillac,MU,76.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
496,Lujiang,CN,77.05,moderate rain,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
497,Puerto Escondido,MX,76.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
502,Pemba,MZ,84.9,few clouds,-12.974,40.5178,Guesthouse Samotina
505,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
511,Namatanai,PG,81.03,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
513,Haimen,CN,82.29,scattered clouds,23.1935,116.6142,Jinghao Business Hotel
516,Matadi,CD,85.46,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
522,Cuiaba,BR,84.13,few clouds,-15.5961,-56.0967,Getúllio Hotel
526,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
527,Keti Bandar,PK,84.16,overcast clouds,24.1447,67.4497,Haji laloo memon house
531,Amuntai,ID,75.47,overcast clouds,-2.4177,115.2494,Hotel Balqis
534,Conceicao Da Barra,BR,81.45,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
542,Puerto Del Rosario,ES,89.28,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
543,Minjur,IN,89.62,broken clouds,13.2667,80.2667,Whitefield Integrated Residential Township
544,Cabrera,DO,75.33,scattered clouds,19.6426,-69.9049,Terramar Hotel
546,Nabire,ID,77.36,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
548,Inhambane,MZ,80.33,scattered clouds,-23.865,35.3833,Oceano
549,Mwanza,TZ,86.05,scattered clouds,-2.5167,32.9,Gold Crest Hotel
551,Dhidhdhoo,MV,82.63,overcast clouds,6.8833,73.1,Dhidhoo beach
561,Varzea Da Palma,BR,87.19,clear sky,-17.5981,-44.7308,Casa Fernandes
565,Sao Miguel,BR,84.52,clear sky,-5.4667,-35.3667,Maracajaú Reef
568,Balabac,PH,82.67,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
572,Salinopolis,BR,84.04,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
580,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
587,Cravo Norte,CO,76.69,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
603,Ishigaki,JP,78.93,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
604,Ariquemes,BR,83.84,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
606,Sao Felix Do Xingu,BR,81.28,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
607,Fare,PF,78.37,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
610,Gasa,PS,87.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
613,Si Sa Ket,TH,87.87,scattered clouds,14.8333,104.3333,ร้านค้า อัญชัน
614,Santa Rosa,PH,85.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
617,Vieques,PR,80.01,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
619,Longyan,CN,76.78,light rain,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
620,Khash,IR,85.53,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
624,Faya,SA,82.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
626,Kuala Terengganu,MY,85.95,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
627,El Tigre,VE,76.37,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
628,Robertsport,LR,80.31,light rain,6.7533,-11.3686,Kwepunha Retreat
631,Iracoubo,GF,83.71,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
635,Sao Miguel Do Araguaia,BR,88.84,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
644,Shache,CN,83.71,clear sky,38.4167,77.2406,Delong Hotel
645,Korla,CN,76.03,clear sky,41.7597,86.1469,Gulisitan Hotel
653,Shahpur,IN,84.52,broken clouds,16.7,76.8333,Sai Deluxe Shahapur
654,Matara,LK,76.57,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
655,Diamantino,BR,86.09,clear sky,-14.4086,-56.4461,Hotel Delta
656,San Policarpo,PH,80.08,overcast clouds,12.1791,125.5072,Manong Aklan Resort
660,Banda Aceh,ID,78.19,overcast clouds,5.5577,95.3222,Sulthan Hotel International
661,Thai Binh,VN,84.2,few clouds,20.45,106.3333,Sweden Hotel
666,Katobu,ID,75.87,light rain,-4.9408,122.5276,La Ode Husein
667,Jinxiang,CN,77.79,light rain,27.4327,120.6062,Wolong Village
671,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
675,Bani Walid,LY,84.34,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
676,Aquiraz,BR,85.21,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
677,Toledo,ES,75.31,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
680,Tura,IN,77.9,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
683,Savalou,BJ,84.92,overcast clouds,7.9281,1.9756,Hotel F&F
687,Manjacaze,MZ,78.69,overcast clouds,-24.7117,33.8828,Hotel Gani
689,Wewak,PG,77.54,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
690,Uribia,CO,81.9,scattered clouds,11.7139,-72.266,Hotel Uribia
693,Coron,PH,79.93,overcast clouds,11.9986,120.2043,Coron Westown Resort
699,Palu,ID,77.14,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
700,Vega De Alatorre,MX,77.86,overcast clouds,20.0333,-96.6333,El Polo Norte
704,Atambua,ID,75.13,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
706,Lagunas,PE,75.72,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
708,Vasai,IN,86.09,scattered clouds,19.47,72.8,Go Firne
