City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,East London,ZA,-33.0153,27.9116,58.14,100,90,8.05,overcast clouds
80,Guerrero Negro,MX,27.9769,-114.0611,74.05,61,49,15.68,scattered clouds
81,Mathbaria,BD,22.2876,89.9593,77.36,91,100,10.58,overcast clouds
82,Hovd,MN,48.0056,91.6419,34.2,48,11,1.52,few clouds
83,Avera,US,33.194,-82.5271,86.92,40,92,5.68,overcast clouds
84,Port Blair,IN,11.6667,92.75,79.11,83,100,3.58,overcast clouds
85,Chokurdakh,RU,70.6333,147.9167,22.87,94,97,8.88,overcast clouds
86,Tocopilla,CL,-22.092,-70.1979,67.39,65,22,9.78,few clouds
87,Goderich,CA,43.7501,-81.7165,65.03,67,0,14.97,clear sky
88,Bengkulu,ID,-3.8004,102.2655,75.61,91,92,3.31,moderate rain
89,Sembe,CG,1.6481,14.5806,71.11,97,81,1.63,light rain
90,Sitka,US,57.0531,-135.33,49.89,66,75,6.91,broken clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,23.02,clear sky
92,Amboasary,MG,-25.0333,46.3833,71.44,71,100,2.04,overcast clouds
93,Canutama,BR,-6.5339,-64.3831,91.42,46,100,2.55,overcast clouds
94,Oranjestad,AW,12.524,-70.027,89.55,62,40,17.27,scattered clouds
95,Lagoa,PT,39.05,-27.9833,70.02,87,11,13.04,few clouds
96,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,11.5,clear sky
97,Port Said,EG,31.2565,32.2841,78.78,69,0,11.5,clear sky
98,Barcelos,PT,41.5388,-8.6151,63.91,78,7,7.47,clear sky
99,Sobolevo,RU,54.4299,31.8996,44.94,87,78,7.72,broken clouds
100,Coquimbo,CL,-29.9533,-71.3436,60.53,72,40,14.97,scattered clouds
101,Eregli,TR,37.5133,34.0467,63.37,42,0,0.76,clear sky
102,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,90,19.57,snow
103,Mlalo,TZ,-4.9333,38.9333,71.85,89,11,4.59,few clouds
104,Esperance,AU,-33.8667,121.9,51.64,87,100,7.96,overcast clouds
105,Kindu,CD,-2.95,25.95,72.43,89,42,1.7,light rain
106,Berlevag,NO,70.8578,29.0864,55.4,54,0,14.97,clear sky
107,Margate,GB,51.3813,1.3862,60.69,83,100,4.0,overcast clouds
108,Dali,CN,25.7,100.1833,61.18,89,68,3.15,broken clouds
109,Khatanga,RU,71.9667,102.5,27.7,69,100,6.87,overcast clouds
110,San Quintin,MX,30.4833,-115.95,71.26,68,17,16.08,few clouds
111,Vilhena,BR,-12.7406,-60.1458,83.32,48,94,4.81,overcast clouds
112,Sao Desiderio,BR,-12.3633,-44.9733,95.05,22,68,6.71,broken clouds
113,Novyy Urengoy,RU,66.0833,76.6333,33.73,71,24,4.38,few clouds
114,Srednekolymsk,RU,67.45,153.6833,21.16,89,100,6.38,overcast clouds
115,Henties Bay,NA,-22.116,14.2845,56.86,88,6,8.77,clear sky
116,Castro,BR,-24.7911,-50.0119,83.62,34,97,6.02,overcast clouds
117,Georgetown,MY,5.4112,100.3354,78.73,97,40,1.01,scattered clouds
118,Fukue,JP,32.6881,128.8419,77.32,82,0,7.61,clear sky
119,Ust-Maya,RU,60.4167,134.5333,38.95,96,100,3.53,overcast clouds
120,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,84,29,6.35,scattered clouds
121,Scunthorpe,GB,53.579,-0.6544,57.47,95,100,10.0,light rain
122,Wawa,NG,9.9022,4.4192,78.58,78,64,3.67,broken clouds
123,Saint-Pierre,RE,-21.3393,55.4781,69.44,77,0,3.44,clear sky
124,Coolum Beach,AU,-26.5333,153.1,66.11,77,100,6.31,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,72.25,64,75,12.66,light rain
126,Bria,CF,6.5423,21.9863,68.85,99,100,3.8,overcast clouds
