City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yuanping,CN,38.7153,112.7575,61.74,68,38,4.68,scattered clouds
80,Panalingaan,PH,8.7842,117.4231,81.34,82,99,1.21,overcast clouds
81,Bor,RU,56.3567,44.0669,48.13,67,87,8.66,overcast clouds
82,Port Hardy,CA,50.6996,-127.4199,50.0,100,20,3.44,few clouds
83,Coquimbo,CL,-29.9533,-71.3436,49.73,81,20,3.44,few clouds
84,Cidreira,BR,-30.1811,-50.2056,65.48,92,100,4.45,overcast clouds
85,Havoysund,NO,70.9963,24.6622,50.88,64,83,24.85,broken clouds
86,Saurimo,AO,-9.6608,20.3916,93.7,26,100,6.06,overcast clouds
87,Port-Gentil,GA,-0.7193,8.7815,82.36,74,75,10.36,light rain
88,Le Port,RE,-20.9373,55.2919,78.8,70,47,6.73,scattered clouds
89,Mana,GF,5.6592,-53.7767,84.33,67,56,9.82,broken clouds
90,Pinawa,CA,50.1489,-95.8811,51.75,93,84,4.23,broken clouds
91,Fortuna,US,40.5982,-124.1573,57.85,75,90,5.75,overcast clouds
92,Kolyshley,RU,52.7005,44.5367,54.12,66,98,6.8,overcast clouds
93,Urumqi,CN,43.801,87.6005,47.35,62,0,11.18,clear sky
94,Hobart,AU,-42.8794,147.3294,58.12,97,90,8.05,mist
95,Tuatapere,NZ,-46.1333,167.6833,49.82,90,100,3.76,overcast clouds
96,Tiksi,RU,71.6872,128.8694,29.28,75,92,2.53,overcast clouds
97,Kazachinskoye,RU,57.6953,93.2761,38.8,91,100,6.8,overcast clouds
98,Monkey Bay,MW,-14.0728,34.9201,82.08,59,14,6.42,few clouds
99,Derzhavinsk,KZ,51.1,66.3167,47.03,48,75,17.02,broken clouds
100,Olafsvik,IS,64.8945,-23.7142,41.65,86,98,22.1,overcast clouds
101,Sterling,US,39.0062,-77.4286,53.6,94,20,6.91,few clouds
102,Lalibela,ET,12.0333,39.0333,68.16,51,95,3.38,overcast clouds
103,Koundara,GN,12.4833,-13.3,78.08,89,99,0.89,overcast clouds
104,Buchanan,LR,5.8808,-10.0467,85.96,71,58,7.05,light rain
105,Saint-Philippe,RE,-21.3585,55.7679,78.39,74,14,13.69,few clouds
106,Aykhal,RU,66.0,111.5,28.62,64,58,2.17,broken clouds
107,Margate,GB,51.3813,1.3862,62.31,88,100,21.92,overcast clouds
108,Pocone,BR,-16.2567,-56.6228,92.95,37,4,9.35,clear sky
109,Torbay,CA,47.6666,-52.7314,60.89,99,90,4.61,fog
110,Apatity,RU,67.5641,33.4031,47.75,62,92,7.09,overcast clouds
111,Las Vegas,US,36.175,-115.1372,68.68,19,1,13.8,clear sky
112,Butaritari,KI,3.0707,172.7902,80.22,79,100,8.39,moderate rain
113,Luderitz,NA,-26.6481,15.1594,64.87,56,39,14.27,scattered clouds
114,Alice Springs,AU,-23.7,133.8833,72.95,18,0,6.91,clear sky
115,Narasannapeta,IN,18.4167,84.05,82.65,80,9,5.37,clear sky
116,Merauke,ID,-8.4667,140.3333,79.68,83,78,9.1,broken clouds
117,Byron Bay,AU,-28.65,153.6167,58.95,91,100,12.37,overcast clouds
